index_definition;index_name;schema_name;table_name
CREATE INDEX idx_cust_subs_provider_sub_id ON public.customer_subscriptions USING btree (provider_subscription_id) WHERE (provider_subscription_id IS NOT NULL);idx_cust_subs_provider_sub_id;public;customer_subscriptions
CREATE INDEX idx_cust_subs_status ON public.customer_subscriptions USING btree (status);idx_cust_subs_status;public;customer_subscriptions
CREATE INDEX idx_cust_subs_tenant ON public.customer_subscriptions USING btree (tenant_id);idx_cust_subs_tenant;public;customer_subscriptions
CREATE UNIQUE INDEX uq_cust_one_active_sub ON public.customer_subscriptions USING btree (customer_id) WHERE (status = ANY (ARRAY['active'::text, 'pending_payment'::text, 'past_due'::text, 'paused'::text]));uq_cust_one_active_sub;public;customer_subscriptions
CREATE UNIQUE INDEX uq_customer_subscriptions_card_token ON public.customer_subscriptions USING btree (card_token) WHERE (card_token IS NOT NULL);uq_customer_subscriptions_card_token;public;customer_subscriptions
CREATE UNIQUE INDEX uq_customer_subscriptions_referral_code ON public.customer_subscriptions USING btree (referral_code) WHERE (referral_code IS NOT NULL);uq_customer_subscriptions_referral_code;public;customer_subscriptions
CREATE UNIQUE INDEX customer_tasks_pkey ON public.customer_tasks USING btree (id);customer_tasks_pkey;public;customer_tasks
CREATE UNIQUE INDEX customers_pkey ON public.customers USING btree (id);customers_pkey;public;customers
CREATE INDEX idx_customers_auth_user_id ON public.customers USING btree (auth_user_id);idx_customers_auth_user_id;public;customers
CREATE INDEX idx_customers_barber_id ON public.customers USING btree (barber_id);idx_customers_barber_id;public;customers
CREATE INDEX idx_customers_birthday_sent ON public.customers USING btree (birthday_sent);idx_customers_birthday_sent;public;customers
CREATE UNIQUE INDEX idx_customers_tenant_auth_user ON public.customers USING btree (tenant_id, auth_user_id) WHERE (auth_user_id IS NOT NULL);idx_customers_tenant_auth_user;public;customers
CREATE INDEX idx_customers_tenant_id ON public.customers USING btree (tenant_id);idx_customers_tenant_id;public;customers
CREATE UNIQUE INDEX email_logs_pkey ON public.email_logs USING btree (id);email_logs_pkey;public;email_logs
CREATE UNIQUE INDEX email_logs_provider_event_id_key ON public.email_logs USING btree (provider_event_id);email_logs_provider_event_id_key;public;email_logs
CREATE INDEX idx_email_logs_provider_message_id ON public.email_logs USING btree (provider_message_id);idx_email_logs_provider_message_id;public;email_logs
CREATE UNIQUE INDEX email_settings_pkey ON public.email_settings USING btree (id);email_settings_pkey;public;email_settings
CREATE UNIQUE INDEX email_settings_tenant_id_key ON public.email_settings USING btree (tenant_id);email_settings_tenant_id_key;public;email_settings
CREATE UNIQUE INDEX financial_adjustment_logs_pkey ON public.financial_adjustment_logs USING btree (id);financial_adjustment_logs_pkey;public;financial_adjustment_logs
CREATE INDEX idx_lgpd_requests_customer ON public.lgpd_requests USING btree (customer_id);idx_lgpd_requests_customer;public;lgpd_requests
CREATE INDEX idx_lgpd_requests_status ON public.lgpd_requests USING btree (status);idx_lgpd_requests_status;public;lgpd_requests
CREATE INDEX idx_lgpd_requests_tenant ON public.lgpd_requests USING btree (tenant_id);idx_lgpd_requests_tenant;public;lgpd_requests
CREATE UNIQUE INDEX lgpd_requests_pkey ON public.lgpd_requests USING btree (id);lgpd_requests_pkey;public;lgpd_requests
CREATE UNIQUE INDEX loyalty_achievements_pkey ON public.loyalty_achievements USING btree (id);loyalty_achievements_pkey;public;loyalty_achievements
CREATE INDEX idx_loyalty_part_campaign ON public.loyalty_campaign_participations USING btree (campaign_id);idx_loyalty_part_campaign;public;loyalty_campaign_participations
CREATE INDEX idx_loyalty_part_customer ON public.loyalty_campaign_participations USING btree (customer_id);idx_loyalty_part_customer;public;loyalty_campaign_participations
CREATE INDEX idx_loyalty_part_tenant ON public.loyalty_campaign_participations USING btree (tenant_id);idx_loyalty_part_tenant;public;loyalty_campaign_participations
CREATE UNIQUE INDEX loyalty_campaign_participations_campaign_id_customer_id_key ON public.loyalty_campaign_participations USING btree (campaign_id, customer_id);loyalty_campaign_participations_campaign_id_customer_id_key;public;loyalty_campaign_participations
CREATE UNIQUE INDEX loyalty_campaign_participations_pkey ON public.loyalty_campaign_participations USING btree (id);loyalty_campaign_participations_pkey;public;loyalty_campaign_participations
CREATE UNIQUE INDEX loyalty_campaign_templates_pkey ON public.loyalty_campaign_templates USING btree (id);loyalty_campaign_templates_pkey;public;loyalty_campaign_templates
CREATE UNIQUE INDEX loyalty_campaign_templates_slug_key ON public.loyalty_campaign_templates USING btree (slug);loyalty_campaign_templates_slug_key;public;loyalty_campaign_templates
CREATE INDEX idx_loyalty_campaigns_status ON public.loyalty_campaigns USING btree (tenant_id, status);idx_loyalty_campaigns_status;public;loyalty_campaigns
